"13 - Qual meio de transporte você utilizou para se locomover por essa cidade e outras localidades?/Carro alugado","PERCENTUAL"
"1","15.24"
"0","84.76"
"Não Respondidos", "1.66","6"

"13 - Qual meio de transporte você utilizou para se locomover por essa cidade e outras localidades?/Buggy","PERCENTUAL"
"1","0.55"
"0","99.45"
"Não Respondidos", "1.66","6"

"13 - Qual meio de transporte você utilizou para se locomover por essa cidade e outras localidades?/Carro/moto própria","PERCENTUAL"
"1","41.55"
"0","58.45"
"Não Respondidos", "1.66","6"

"13 - Qual meio de transporte você utilizou para se locomover por essa cidade e outras localidades?/Moto táxi","PERCENTUAL"
"1","1.11"
"0","98.89"
"Não Respondidos", "1.66","6"

"13 - Qual meio de transporte você utilizou para se locomover por essa cidade e outras localidades?/Quadriciclo","PERCENTUAL"
"1","1.11"
"0","98.89"
"Não Respondidos", "1.66","6"

"13.1- Quais?","PERCENTUAL"
"Van","8.64"
"Carona","0.62"
"Avainas","0.62"
" Taxi","0.62"
"Vans e carona","0.62"
"A pé, vans","0.62"
"Pernas e van","0.62"
"Transfer","1.23"
"A pé, carro do hotel","0.62"
"A pé.","0.62"
"Uber","0.62"
"Pê","0.62"
"Moto propria","0.62"
"Trnsfer","0.62"
"Van e moto taxi","0.62"
"Carro proprio","3.70"
"Carro do amigo","0.62"
"A pé","21.60"
"Carro próprio","0.62"
"A pé e taxi","1.23"
"A pe","10.49"
"Uber e excursões","0.62"
"A pê","0.62"
"Van e bike","0.62"
"Coletivo","1.85"
"Onibus","1.23"
"A pé, bike","0.62"
"Pernas","0.62"
"Van público","0.62"
"A pé,","0.62"
"Taxi","9.88"
"Tublico van","0.62"
"A pé e van","0.62"
"Taxi e a pé","0.62"
"Ônibus","1.23"
"Coletivo van","1.23"
"Van de turismo","0.62"
"Pé","17.90"
"Vans","3.70"
"",""

"14- Qual o meio de hospedagem utilizado?","PERCENTUAL"
"Pousada/chalés","22.89"
"Hotelaria doméstica","1.91"
"Hotel/resort","21.25"
"Outros","4.63"
"Camping","1.91"
"Casa de parentes/Amigos","17.98"
"Casa de veraneio","9.54"
"Hostel/Albergue","10.08"
"Flat/ apart-hotel","9.81"


"15- Qual foi o motivo/ atrativo da sua viagem?","PERCENTUAL"
"Visitar amigos/ parentes","7.90"
"Intercâmbio/ estudo","0.27"
"Outros","16.08"
"Cultural","1.91"
"Esportivo","4.09"
"Evento","1.63"
"Lua de mel/ casamento","3.27"
"Sol e praia","43.05"
"Trabalho","2.45"
"Aventura e natureza","19.35"


"15.1- Quais?","PERCENTUAL"
"Não sabia onde ir","1.69"
"Forró do Agora","1.69"
"Cachaça","1.69"
"Descascar","1.69"
"Festa","1.69"
"Relaxar","1.69"
" Estava candado, queria relaxar, melhor clima, cidade dele esta ,- 5 c","1.69"
"Férias","20.34"
"Residir","1.69"
"Farra","1.69"
"Ano novo","1.69"
"Descansar","1.69"
"Conhecer","3.39"
"Lazer","13.56"
"Réveillon","5.08"
"Passeio","6.78"
"Tempo livre","1.69"
"Praia","1.69"
"Balada","1.69"
"Descanso","3.39"
"Turismo","5.08"
"Ferias","18.64"
"",""

"16- Qual foi a influência para sua escolha por essa cidadel?","PERCENTUAL"
"Agência de viagem","5.45"
"Já conhecia o local","40.05"
"Outros","7.36"
"Propaganda","1.36"
"Evento","1.36"
"Empresa/trabalho","1.09"
"Comentários","28.07"
"Stand em eventos","0.27"
"Internet","14.99"


"16.1- Qual?","PERCENTUAL"
"Viagem","4.35"
"Amigos","8.70"
"Tranquilidade","4.35"
"Titia","4.35"
"Visita ao filho","4.35"
"Curiosidade","4.35"
"Sempre quis vim, tentei uma vez mas não consegui hospedagem. Esta cheia a cidade.","4.35"
"Querem mudar","4.35"
"Praias","8.70"
"Belezas","8.70"
"Lindo","4.35"
"Praia próxima.","4.35"
"Por conta","4.35"
"Conhecer","4.35"
"Pipa","8.70"
"Amizade","4.35"
"Amigos e réveillon","4.35"
"Visitar a filha.","4.35"
"Lugar","4.35"
"",""

"17- Como organizou a viagem?","PERCENTUAL"
"Corporativa","1.09"
"Agência de viagens","6.81"
"Outros","3.27"
"Sozinho/internet","87.74"
"Consultor de viagens","1.09"


"17.1- Quais?","PERCENTUAL"
"Primos","9.09"
"Whatsapp","9.09"
"Familia","18.18"
"Conta propria","9.09"
"Com amigos","18.18"
"Já conhecia o lugar","9.09"
"Cara da van","9.09"
"Roteiro realizado com amigas.","9.09"
"Familiar","9.09"
"",""

"18- Você usou algum serviço especializado em informações turísticas?","PERCENTUAL"
"Sim","19.07"
"Não","80.93"


"18.1- Onde?","PERCENTUAL"
"Comprou passagem pela cvc","1.56"
"Cvc","9.38"
"Agência","3.12"
"Agência viagem","1.56"
"Em são paulo","1.56"
"Internet e agencia de passeios","1.56"
" Internet","1.56"
"Natal","1.56"
"Suiça","1.56"
"Agentes","3.12"
"Agência de viajem","1.56"
"Guia de turismo local","1.56"
"Panfletos","1.56"
"Book","4.69"
"Book ,guia","1.56"
"Site","3.12"
"Booking","4.69"
"Iinternet","1.56"
"Agencia viagem e de passeios","1.56"
"Agencia de passeios","1.56"
"Site do hotel","1.56"
"Bancobras","4.69"
"Internet","31.25"
"Trip","1.56"
"Em salvador","1.56"
"Caruaru","1.56"
"Booking.com e google","1.56"
"Ponta Negra","1.56"
"Cara da fan","1.56"
"Tibau","1.56"
"Hotel","1.56"
"",""

"19- Você utilizou algum serviço de guia ou acompanhante de turismo?","PERCENTUAL"
"Sim","10.38"
"Não","89.62"
"Não Respondidos", "0.27","1"

"19.1- Para quais serviços?","PERCENTUAL"
"Passeios de buggy Outros","2.86"
"Passeios em atrativos turísticos","45.71"
"Outros","11.43"
"Concierge","2.86"
"City tour/receptivo Passeios de buggy Passeios em atrativos turísticos","8.57"
"City tour/receptivo","8.57"
"Passeios de buggy","8.57"
"Passeios de buggy Passeios em atrativos turísticos Outros","2.86"
"Passeios em atrativos turísticos Outros","2.86"
"City tour/receptivo Passeios em atrativos turísticos","5.71"
"",""

"19.1- Para quais serviços?/Concierge","PERCENTUAL"
"1","2.86"
"0","97.14"
"",""

"19.1- Para quais serviços?/Passeios de buggy","PERCENTUAL"
"1","22.86"
"0","77.14"
"",""

"19.1- Para quais serviços?/Outros","PERCENTUAL"
"1","20.00"
"0","80.00"
"",""

"19.1- Para quais serviços?/Passeios em atrativos turísticos","PERCENTUAL"
"1","65.71"
"0","34.29"
"",""

"19.1- Para quais serviços?/City tour/receptivo","PERCENTUAL"
"1","22.86"
"0","77.14"
"",""

"19.2- Quais?","PERCENTUAL"
"Passeio de barco","33.33"
"Quadriciclo","33.33"
"Chegar","33.33"
"",""

"20- Você fez algum passeio?","PERCENTUAL"
"Sim","38.42"
"Não","61.58"


"20.1- Quais?","PERCENTUAL"
"Jardineira Buggy Catamarã/lancha Outros","0.71"
"Jardineira Buggy","0.71"
"Outros","20.00"
"Buggy Catamarã/lancha Outros","1.43"
"Pau de arara Quatriciclo","0.71"
"Jardineira Buggy Catamarã/lancha","2.14"
"Buggy Quatriciclo","0.71"
"Buggy Catamarã/lancha Quatriciclo Outros","1.43"
"Pau de arara","5.71"
"Buggy","4.29"
"Catamarã/lancha Quatriciclo","7.86"
"Pau de arara Jardineira","0.71"
"Catamarã/lancha Outros","2.14"
"Pau de arara Jardineira Buggy Catamarã/lancha Quatriciclo Outros","0.71"
"Jardineira Catamarã/lancha Outros","0.71"
"Pau de arara Buggy Catamarã/lancha Quatriciclo Outros","0.71"
"Jardineira Catamarã/lancha","0.71"
"Jardineira Quatriciclo Outros","2.14"
"Quatriciclo","5.71"
"Jardineira Buggy Quatriciclo","2.14"
"Pau de arara Jardineira Buggy","0.71"
"Buggy Outros","0.71"
"Pau de arara Catamarã/lancha","3.57"
"Buggy Catamarã/lancha Quatriciclo","2.14"
"Buggy Catamarã/lancha","6.43"
"Catamarã/lancha","21.43"
"Jardineira","2.86"
"Quatriciclo Outros","0.71"
"",""

"20.1- Quais?/Outros","PERCENTUAL"
"1","31.43"
"0","68.57"
"",""

"20.1- Quais?/Jardineira","PERCENTUAL"
"1","14.29"
"0","85.71"
"",""

"20.1- Quais?/Catamarã/lancha","PERCENTUAL"
"1","52.14"
"0","47.86"
"",""

"20.1- Quais?/Buggy","PERCENTUAL"
"1","25.00"
"0","75.00"
"",""

"20.1- Quais?/Quatriciclo","PERCENTUAL"
"1","25.00"
"0","75.00"
"",""

"20.1- Quais?/Pau de arara","PERCENTUAL"
"1","12.86"
"0","87.14"
"",""

"20.2- Quais?","PERCENTUAL"
"Van","3.23"
"Passeio de barco a vela","3.23"
"Dunas 4x4","3.23"
"Kaiak","3.23"
"Stand up","3.23"
"Caiak","3.23"
"Arvorismo, montaria haras","3.23"
"Arvorismo e cavalo","3.23"
"Lancha","16.13"
"Cajueiro","3.23"
"Santuário","3.23"
"Dunas de jeep","3.23"
"Arituba","3.23"
"Cunhau","3.23"
"Praia do amor","3.23"
"Arvorismo","9.68"
"Arvorismo, cavalo","3.23"
"Jeep","3.23"
"Ônibus","3.23"
"Balsa","6.45"
"Excursão","3.23"
"Pé","6.45"
"Surf","3.23"
"",""

"20.3- Como ficou sabendo do passeio?","PERCENTUAL"
"Guia turístico/folders","22.46"
"Com o próprio bugueiro","3.62"
"Outros","10.14"
"Propaganda","5.07"
"Agência de viagens/receptivo","8.70"
"Concierge (hotel)","18.84"
"Indicação de parentes/amigos","23.19"
"Internet","7.97"
"",""

"Condições do transporte","PERCENTUAL"
"2","2.38"
"5","50.00"
"1","2.38"
"3","13.49"
"4","31.75"
"",""

"Condutor/guia","PERCENTUAL"
"2","0.79"
"5","64.29"
"1","3.17"
"3","10.32"
"4","21.43"
"",""

"Roteiro do passeio","PERCENTUAL"
"2","0.79"
"5","62.99"
"1","3.15"
"3","8.66"
"4","24.41"
"",""

"Preço do passeio","PERCENTUAL"
"5","42.19"
"2","2.34"
"1","7.03"
"3","10.16"
"4","38.28"
"",""

"20.1- Por quê?","PERCENTUAL"
"Viajava com crianças","15.49"
"Motivação de viagem","4.87"
"Não estava no pacote","1.33"
"Falta de interesse","26.99"
"Outros","9.73"
"Insegurança/medo","0.88"
"Não gosta","2.21"
"Falta de tempo","24.34"
"Já fez anteriormente","14.16"
"Não Respondidos", "62.39","141"

"21- Quais os atrativos visitados?","PERCENTUAL"
"Praias Chapadão Fazenda do camarão Lagoa Guaraira Mirantes","2.18"
"Praias Chapadão Fazenda do camarão Mirantes Outros","0.27"
"Praias Chapadão Fazenda do camarão Projeto Tamar","0.27"
"Praias Chapadão Mirantes Projeto Tamar Santuario ecológico","1.91"
"Outros","0.54"
"Praias","38.42"
"Praias Chapadão Fazenda do camarão Lagoa Guaraira Mirantes Projeto Tamar","0.54"
"Praias Chapadão Mirantes","8.99"
"Praias Chapadão Fazenda do camarão Lagoa Guaraira Mirantes Projeto Tamar Santuario ecológico","0.54"
"Praias Chapadão Lagoa Guaraira Santuario ecológico","0.27"
"Praias Chapadão Fazenda do camarão Lagoa Guaraira","2.18"
"Praias Chapadão Mirantes Outros","0.27"
"Praias Chapadão Lagoa Guaraira","1.09"
"Praias Lagoa Guaraira Projeto Tamar Santuario ecológico","0.27"
"Praias Chapadão Mirantes Santuario ecológico Outros","0.27"
"Praias Chapadão Lagoa Guaraira Outros","1.09"
"Praias Chapadão Fazenda do camarão Mirantes","0.27"
"Praias Chapadão Fazenda do camarão Lagoa Guaraira Mirantes Santuario ecológico Outros","0.27"
"Praias Chapadão Outros","0.27"
"Praias Mirantes","2.72"
"Praias Nenhum","0.27"
"Santuario ecológico","0.27"
"Praias Chapadão","7.08"
"Praias Chapadão Mirantes Projeto Tamar Santuario ecológico Outros","0.27"
"Praias Mirantes Santuario ecológico","0.27"
"Praias Chapadão Santuario ecológico","1.63"
"Praias Lagoa Guaraira Mirantes","0.82"
"Praias Chapadão Fazenda do camarão Lagoa Guaraira Outros","0.54"
"Praias Chapadão Fazenda do camarão Lagoa Guaraira Projeto Tamar Santuario ecológico","0.27"
"Praias Chapadão Projeto Tamar","0.27"
"Praias Santuario ecológico Outros","0.27"
"Praias Chapadão Fazenda do camarão Projeto Tamar Santuario ecológico Outros","0.27"
"Praias Fazenda do camarão Lagoa Guaraira","0.27"
"Praias Lagoa Guaraira","1.36"
"Praias Chapadão Fazenda do camarão Santuario ecológico Outros","0.27"
"Praias Chapadão Fazenda do camarão Lagoa Guaraira Mirantes Santuario ecológico","1.09"
"Praias Lagoa Guaraira Outros","0.27"
"Lagoa Guaraira","0.27"
"Praias Fazenda do camarão Projeto Tamar Outros","0.27"
"Mirantes Santuario ecológico","0.27"
"Praias Chapadão Projeto Tamar Santuario ecológico","0.27"
"Praias Chapadão Lagoa Guaraira Mirantes","2.18"
"Praias Chapadão Fazenda do camarão Lagoa Guaraira Mirantes Outros","1.36"
"Praias Lagoa Guaraira Santuario ecológico","0.82"
"Praias Santuario ecológico","1.09"
"Praias Projeto Tamar Santuario ecológico","0.27"
"Praias Chapadão Fazenda do camarão Lagoa Guaraira Santuario ecológico","0.82"
"Praias Chapadão Lagoa Guaraira Mirantes Projeto Tamar Santuario ecológico","0.82"
"Praias Chapadão Lagoa Guaraira Mirantes Santuario ecológico","3.27"
"Praias Fazenda do camarão","0.27"
"Nenhum","1.09"
"Praias Fazenda do camarão Lagoa Guaraira Mirantes Projeto Tamar Santuario ecológico","0.27"
"Praias Chapadão Fazenda do camarão Santuario ecológico","0.54"
"Praias Chapadão Fazenda do camarão","1.63"
"Mirantes","0.27"
"Praias Chapadão Fazenda do camarão Outros","0.27"
"Praias Outros","3.54"
"Praias Chapadão Lagoa Guaraira Mirantes Santuario ecológico Outros","0.54"
"Praias Chapadão Mirantes Santuario ecológico","1.63"


"21- Quais os atrativos visitados?/Santuario ecológico","PERCENTUAL"
"1","18.80"
"0","81.20"


"21- Quais os atrativos visitados?/Nenhum","PERCENTUAL"
"1","1.36"
"0","98.64"


"21- Quais os atrativos visitados?/Praias","PERCENTUAL"
"1","97.28"
"0","2.72"


"21- Quais os atrativos visitados?/Mirantes","PERCENTUAL"
"1","31.34"
"0","68.66"


"21- Quais os atrativos visitados?/Outros","PERCENTUAL"
"1","10.90"
"0","89.10"


"21- Quais os atrativos visitados?/Chapadão","PERCENTUAL"
"1","45.78"
"0","54.22"


"21- Quais os atrativos visitados?/Fazenda do camarão","PERCENTUAL"
"1","14.71"
"0","85.29"


"21- Quais os atrativos visitados?/Lagoa Guaraira","PERCENTUAL"
"1","23.43"
"0","76.57"


"21- Quais os atrativos visitados?/Projeto Tamar","PERCENTUAL"
"1","6.54"
"0","93.46"


"22- Viajou para outros municípios ou localidades do RN? Quais?","PERCENTUAL"
"Sim","39.62"
"Não","60.38"
"Não Respondidos", "0.27","1"

"22.1- Quais?","PERCENTUAL"
"Baia Formosa e Barra de Cunhau.","0.68"
"Barra do cunhau, sibauma e tibau","0.68"
"Muitos","0.68"
"Caicó","0.68"
"Goianinha","8.16"
"Praias","0.68"
"Baia formosa sibauma e barra do cunhau","0.68"
"Pipa,Redinha,genipabu","0.68"
"Baia formosa e barra de cunhau","0.68"
"Mossoró","0.68"
"Natal, búzios, barra de tabatinga, SMG etc","0.68"
"Sibauma","3.40"
"Barra do cunhau","3.40"
"São Miguel do gostoso e jenipabu","0.68"
"Pium","0.68"
"Sagi","0.68"
"Baia formosa","1.36"
"Natal","28.57"
"Malembá barra do cunhau sibauma","0.68"
"Sibauma, barra do cunhau, búzios,tabatinga pirangi, natal, genipabu","0.68"
"Barra de Camaratuba ","0.68"
" Natal","0.68"
"Sibauma barra do cunhau e baia formosa","0.68"
"Natal, jenipabu, barra de tabatinga, Bahia formosa, barra do cunhau, pirangi do norte","0.68"
"João câmara","0.68"
"Sibauma e barra","1.36"
"Nizia Floresta","0.68"
"Ponta negra","0.68"
"Pirangi, tabatinga, buzios","0.68"
"Jenipabu, Natal, pirangi, tabatinga, Bahia formosa, barra do cunhau","0.68"
"Natal, praia barra de tabatinga.","0.68"
"Nisia floresta","1.36"
"São Miguel do Gostoso","0.68"
"Mossoró, touros, SMG,, natal etc...","0.68"
"Formosa","4.08"
"Sibauma barra e tibau","0.68"
"Mossoró, são Miguel do gostoso","0.68"
"Sibauma , barra de cunhau e baía formosa","0.68"
"Natal, Caicó mosoro","0.68"
"Pipa / Ponta Negra","0.68"
"São jose,nizia,formosa","0.68"
"São !Miguel do gostoso","0.68"
" Sibauma baia formosa barra","0.68"
"Piau","0.68"
"Formosa sagi","0.68"
"Jenipabu
","0.68"
"Canguaretama","0.68"
"Açu","0.68"
"Barra de c. E baia formosa","0.68"
"Varios","0.68"
"Martins","0.68"
"Maracaju, genipabu, tabatinga, puranji","0.68"
"Natal, Tibau do Sul","0.68"
"Natal ","0.68"
"Não","2.04"
"Barra do cunhau e baia formosa","2.72"
"Camaratuba ,sagi ,baia formosa, barra do cunhau , sibauma ","0.68"
"Goianinha,Canguaretama","0.68"
"Barra","1.36"
"Sibauma , barra do cunhau e baia formosa","0.68"
"Natal, barra do cunhau","1.36"
"Ponta Negra","0.68"
"Natal tibau ","0.68"
"Pipa","0.68"
"Tabatinga","0.68"
"Tibau","1.36"
"Sibauma e tibau","1.36"
"Não se aplica","0.68"
"Mossoro","0.68"
"Sibauma, barra do cunhau, malemba, tabatinga , búzios, pirangi, pium, natal, genipabu","0.68"
"",""

"23- É sua primeira vez nessa cidade?","PERCENTUAL"
"Sim","45.23"
"Não","54.77"


"24- Retornaria a essa cidade?","PERCENTUAL"
"Sim","98.91"
"Não","1.09"


"24.1- Por quê?","PERCENTUAL"
"Ótimos restaurantes e praia","0.27"
"Gostamos","0.27"
"Beleza da praia","0.27"
"Pessoas acolhedoras e praias paradisíacas","0.27"
"Belezas naturais, noite de pipa...","0.27"
"É muito legal","0.27"
"Adoro, noite agitada","0.27"
"Encantadora","0.27"
"Segurança / Atrativos / Paisagens ","0.27"
"Praia sossegada","0.27"
"Lindo","1.64"
"Belezas naturais e noite da pipa","0.55"
"Belezas naturais e vida noturna","0.27"
"Adoro as praias de Tibau do Sul, principalmente, de Pipa.","0.27"
"Belezas naturais, noite de pipa","0.27"
" Gostei, amei","0.27"
"Gosta da tranquilidade, a agente, praia , segurança na praia","0.27"
"Porque gostei.","0.27"
"Gosta","1.64"
"Atrativos, belezas naturais","0.27"
"Comprou imóvel","0.27"
"Praias lindas, noite de pipa","0.27"
" Gosto das praias, do ambiente a noite, dos restaurantes etc","0.27"
"Tranquilo","0.27"
"Naturais","0.27"
"Trabalho","0.27"
"Visitar o filho e porque é lindo","0.27"
"Ondas e cerveja","0.27"
"Acesso","0.27"
"Belas","0.27"
"Paraíso","0.55"
"Porque gostei,","0.27"
"Belezas naturais, noite, tranquilidade","0.27"
"É pipa, a noite agitata e cidade aconchegante","0.27"
"Pessoas","0.55"
"Natureza, vida noturna","0.27"
"Perto","0.55"
"Muitas facetas a cidade, voltaria em outra época onde pudesse explorar a cultura. Agora é impocivel","0.27"
"Gostou","1.92"
"Belezas naturais e visita a família","0.27"
" Praias bonitas,","0.27"
"Belas praias","0.82"
"Muito bonito","0.27"
"Muitas praias bonitas","0.27"
"Astral bom, gosta da noite ver as lojas, mas é caro","0.27"
"Agradável, praias noite","0.27"
"Sossegado","0.27"
"Belezas naturais e noite da 
Pipa","0.27"
"Diversões variadas","0.27"
"Surfe","0.27"
